id,semestre,estatus,interes,genero,pronombres,edad,mayor,menor,buscando,pelicula,Reggaeton,Electrónica,Pop,Instrumental,Rock,Metal,Cumbia,Kpop,Banda,anime,videojuegos,bailar,Futbol,Basquetbol,Baseball,Futbol Americano,Natación,Tennis,Ciclismo,No,Otro,Golf,taco,bbt,animal,helado,celebracion,estacion,pizza,astrologia,signo,cocinar,cocinen,perrogato,pelilibros,subdub,temperatura,tiburon,poderes,caracteristicapareja,caracteristica
0,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,Comedia,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Raj,Tiburón,Nuez,Spring Break,Primavera,No,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Manipular el tiempo,Diversión,Confiable
1,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,Romance,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Pescado,Ninguno,Pato,Chocomenta,San Valentín,Verano,No,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Calor,Arturo Elías Ayub,Dinero como el batman,Diversión,Divertido
2,10,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,Romance,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Barbacoa,Sheldon,Pingüino,Nuez,Spring Break,Invierno,No,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Telepatía,Respeto,Alegre
3,8,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,No,Amistad,Romance,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Sheldon,Pingüino,Vanilla,Navidad,Invierno,Sí,Sí,Acuario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Cariño,Divertido
4,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Drama,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,Sí,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Ballena,Pistache,San Valentín,Primavera,No,No,Piscis,No,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Diversión,Alegre
5,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,"Él, Elle",21,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Barbacoa,Howard,Pingüino,Fresa,Día de la Independencia,Invierno,Sí,No,Sagitario,Sí,Sí,Gatos,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Empatía,Alegre
6,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,No,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Bernadette,Pingüino,Fresa,San Valentín,Otoño,No,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Emmanuel,Teletransporte,Respeto,Confiable
7,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Romance,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,Barbacoa,Ninguno,Pingüino,Nuez,Año nuevo,Otoño,Sí,No,Cáncer,No,Sí,Gatos,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Respeto,Alegre
8,7,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Leonard,Ballena,Cookies and cream,Halloween,Verano,No,No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Confianza,Fiel
9,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Guisos,Ninguno,Pato,Nuez,San Valentín,Otoño,No,Sí,Aries,No,Sí,Gatos,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Diversión,Alegre
10,6,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Terror,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Canasta-/Al vapor,Sheldon,Lobo,Vanilla,San Valentín,Verano,No,No,Piscis,Sí,No,Perros,Libro,Doblada,Calor,Rodrigo Herrera,Control Mental y manipulación,Inteligencia,Alegre
